Country,Date,No. of confirmed cases,No. of confirmed deaths
Liberia,02/02/2015,3138,
Mali,02/02/2015,7,
United Kingdom,02/02/2015,1,
Guinea,02/02/2015,2593,1595
United States of America,02/02/2015,4,1
Spain,02/02/2015,1,0
Sierra Leone,02/02/2015,8042,2908
Senegal,02/02/2015,1,0
Nigeria,02/02/2015,19,7
United Kingdom,03/02/2015,1,
Spain,03/02/2015,1,0
Senegal,03/02/2015,1,0
Guinea,03/02/2015,2608,1597
Sierra Leone,03/02/2015,8059,2910
United States of America,03/02/2015,4,1
Mali,03/02/2015,7,
Liberia,03/02/2015,3143,
Nigeria,03/02/2015,19,7
Nigeria,04/02/2015,19,7
United Kingdom,04/02/2015,1,
Mali,04/02/2015,7,
Liberia,04/02/2015,3143,
Spain,04/02/2015,1,0
Sierra Leone,04/02/2015,8059,2910
Senegal,04/02/2015,1,0
United States of America,04/02/2015,4,1
Guinea,04/02/2015,2608,1597
United Kingdom,05/02/2015,1,
Senegal,05/02/2015,1,0
Liberia,05/02/2015,3143,
Nigeria,05/02/2015,19,7
United States of America,05/02/2015,4,1
Mali,05/02/2015,7,
Sierra Leone,05/02/2015,8063,2920
Guinea,05/02/2015,2621,1600
Spain,05/02/2015,1,0
Sierra Leone,06/02/2015,8084,2935
Senegal,06/02/2015,1,0
Guinea,06/02/2015,2628,1608
Nigeria,06/02/2015,19,7
United Kingdom,06/02/2015,1,
Liberia,06/02/2015,3143,
Mali,06/02/2015,7,
United States of America,06/02/2015,4,1
Spain,06/02/2015,1,0
Senegal,10/02/2015,1,0
Liberia,10/02/2015,3146,3826
Nigeria,10/02/2015,19,7
Sierra Leone,10/02/2015,8135,2975
Spain,10/02/2015,1,0
United States of America,10/02/2015,4,1
Guinea,10/02/2015,2674,1643
Mali,10/02/2015,7,
United Kingdom,10/02/2015,1,
Nigeria,11/02/2015,19,7
Mali,11/02/2015,7,
Senegal,11/02/2015,1,0
Guinea,11/02/2015,2674,1643
Sierra Leone,11/02/2015,8135,2975
Liberia,11/02/2015,3146,3826
Spain,11/02/2015,1,0
United States of America,11/02/2015,4,1
United Kingdom,11/02/2015,1,
United States of America,12/02/2015,4,1
Liberia,12/02/2015,3146,3826
Senegal,12/02/2015,1,0
Mali,12/02/2015,7,
Spain,12/02/2015,1,0
Nigeria,12/02/2015,19,7
United Kingdom,12/02/2015,1,
Sierra Leone,12/02/2015,8138,2984
Guinea,12/02/2015,2685,1651
United States of America,13/02/2015,4,1
Guinea,13/02/2015,2693,1659
Mali,13/02/2015,7,
